response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.8596,0.0003,0.0001,0.0000,0.8591,0.0002,200,0.0003
0.9052,0.0001,0.0000,0.0005,0.9045,0.0001,200,0.0006
1.0464,0.0006,0.0004,0.0002,1.0455,0.0001,200,0.0004
1.0464,0.0002,0.0000,0.0003,1.0459,0.0000,200,0.0008
1.0548,0.0003,0.0000,0.0002,1.0543,0.0000,200,0.0005
1.0822,0.0001,0.0000,0.0000,1.0819,0.0001,200,0.0005
1.0958,0.0008,0.0008,0.0000,1.0949,0.0000,200,0.0002
1.1210,0.0004,0.0003,0.0002,1.1203,0.0000,200,0.0005
1.1493,0.0004,0.0002,0.0002,1.1486,0.0000,200,0.0003
1.1621,0.0004,0.0004,0.0000,1.1616,0.0000,200,0.0005
1.1807,0.0006,0.0002,0.0001,1.1799,0.0001,200,0.0004
1.1873,0.0006,0.0003,0.0001,1.1866,0.0000,200,0.0004
1.1878,0.0002,0.0001,0.0001,1.1875,0.0000,200,0.0005
1.1896,0.0005,0.0004,0.0002,1.1889,0.0000,200,0.0004
1.2135,0.0005,0.0004,0.0000,1.2128,0.0001,200,0.0004
1.2284,0.0003,0.0002,0.0001,1.2279,0.0000,200,0.0004
1.2350,0.0005,0.0003,0.0001,1.2344,0.0000,200,0.0005
1.2355,0.0005,0.0003,0.0002,1.2348,0.0000,200,0.0005
1.2404,0.0002,0.0000,0.0002,1.2400,0.0000,200,0.0006
1.2738,0.0006,0.0005,0.0000,1.2731,0.0001,200,0.0004
1.2782,0.0005,0.0003,0.0002,1.2775,0.0000,200,0.0005
1.2885,0.0006,0.0006,0.0000,1.2878,0.0000,200,0.0004
1.2884,0.0003,0.0000,0.0002,1.2879,0.0000,200,0.0005
1.2993,0.0002,0.0001,0.0002,1.2988,0.0000,200,0.0005
1.3056,0.0004,0.0002,0.0002,1.3050,0.0000,200,0.0004
1.3058,0.0004,0.0003,0.0001,1.3053,0.0000,200,0.0004
1.3128,0.0006,0.0003,0.0001,1.3120,0.0000,200,0.0004
1.3299,0.0005,0.0002,0.0002,1.3291,0.0000,200,0.0003
1.3398,0.0009,0.0008,0.0000,1.3388,0.0000,200,0.0002
1.3576,0.0003,0.0000,0.0001,1.3571,0.0000,200,0.0007
1.4100,0.0009,0.0009,0.0000,1.4090,0.0001,200,0.0003
1.4127,0.0002,0.0001,0.0001,1.4124,0.0001,200,0.0005
1.4250,0.0006,0.0003,0.0001,1.4242,0.0000,200,0.0004
1.4256,0.0005,0.0004,0.0002,1.4248,0.0000,200,0.0004
1.4256,0.0006,0.0005,0.0000,1.4250,0.0000,200,0.0004
1.4368,0.0006,0.0003,0.0001,1.4361,0.0000,200,0.0004
1.4413,0.0004,0.0003,0.0001,1.4408,0.0000,200,0.0003
1.4475,0.0002,0.0001,0.0001,1.4472,0.0000,200,0.0006
1.4546,0.0005,0.0003,0.0001,1.4539,0.0000,200,0.0004
1.4617,0.0009,0.0008,0.0000,1.4607,0.0000,200,0.0003
1.4653,0.0009,0.0008,0.0000,1.4644,0.0000,200,0.0003
1.4740,0.0130,0.0001,0.0000,1.4610,0.0000,200,0.0005
1.4799,0.0009,0.0008,0.0000,1.4790,0.0000,200,0.0002
1.4898,0.0008,0.0007,0.0000,1.4889,0.0000,200,0.0001
1.5330,0.0009,0.0008,0.0000,1.5319,0.0000,200,0.0001
1.5607,0.0009,0.0009,0.0000,1.5597,0.0000,200,0.0003
1.5735,0.0009,0.0008,0.0000,1.5726,0.0000,200,0.0003
1.6015,0.0009,0.0008,0.0000,1.6006,0.0000,200,0.0003
